#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
getChromDepth_sample000_estimateChromDepth_448_chrUn_GL000214v1		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_448_chrUn_GL000214v1 --chrom chrUn_GL000214v1
getChromDepth_sample000_estimateChromDepth_449_chrUn_KI270742v1		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_449_chrUn_KI270742v1 --chrom chrUn_KI270742v1
getChromDepth_sample000_estimateChromDepth_450_chrUn_GL000216v2		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_450_chrUn_GL000216v2 --chrom chrUn_GL000216v2
getChromDepth_sample000_estimateChromDepth_451_chrUn_GL000218v1		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_451_chrUn_GL000218v1 --chrom chrUn_GL000218v1
getChromDepth_sample000_estimateChromDepth_452_chrX		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_452_chrX --chrom chrX
getChromDepth_sample000_estimateChromDepth_453_chrY		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_453_chrY --chrom chrY
getChromDepth_sample000_estimateChromDepth_454_chrY_KI270740v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_454_chrY_KI270740v1_random --chrom chrY_KI270740v1_random
getChromDepth_sample000_estimateChromDepth_455_chr1_KQ031383v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_455_chr1_KQ031383v1_fix --chrom chr1_KQ031383v1_fix
getChromDepth_sample000_estimateChromDepth_456_chr1_KQ983255v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_456_chr1_KQ983255v1_alt --chrom chr1_KQ983255v1_alt
getChromDepth_sample000_estimateChromDepth_457_chr1_KN538361v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_457_chr1_KN538361v1_fix --chrom chr1_KN538361v1_fix
getChromDepth_sample000_estimateChromDepth_458_chr1_KQ458383v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_458_chr1_KQ458383v1_alt --chrom chr1_KQ458383v1_alt
getChromDepth_sample000_estimateChromDepth_459_chr1_KN196473v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_459_chr1_KN196473v1_fix --chrom chr1_KN196473v1_fix
getChromDepth_sample000_estimateChromDepth_460_chr1_KZ208904v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_460_chr1_KZ208904v1_alt --chrom chr1_KZ208904v1_alt
getChromDepth_sample000_estimateChromDepth_461_chr1_KN196472v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_461_chr1_KN196472v1_fix --chrom chr1_KN196472v1_fix
getChromDepth_sample000_estimateChromDepth_462_chr1_KZ208905v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_462_chr1_KZ208905v1_alt --chrom chr1_KZ208905v1_alt
getChromDepth_sample000_estimateChromDepth_463_chr1_KQ458382v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_463_chr1_KQ458382v1_alt --chrom chr1_KQ458382v1_alt
getChromDepth_sample000_estimateChromDepth_464_chr1_KV880763v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_464_chr1_KV880763v1_alt --chrom chr1_KV880763v1_alt
getChromDepth_sample000_estimateChromDepth_465_chr1_KN196474v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_465_chr1_KN196474v1_fix --chrom chr1_KN196474v1_fix
getChromDepth_sample000_estimateChromDepth_466_chr1_KN538360v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_466_chr1_KN538360v1_fix --chrom chr1_KN538360v1_fix
getChromDepth_sample000_estimateChromDepth_467_chr1_KZ208906v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_467_chr1_KZ208906v1_fix --chrom chr1_KZ208906v1_fix
getChromDepth_sample000_estimateChromDepth_468_chr1_KQ458384v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_468_chr1_KQ458384v1_alt --chrom chr1_KQ458384v1_alt
getChromDepth_sample000_estimateChromDepth_469_chr2_KQ031384v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_469_chr2_KQ031384v1_fix --chrom chr2_KQ031384v1_fix
getChromDepth_sample000_estimateChromDepth_470_chr2_KZ208907v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_470_chr2_KZ208907v1_alt --chrom chr2_KZ208907v1_alt
getChromDepth_sample000_estimateChromDepth_471_chr2_KQ983256v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_471_chr2_KQ983256v1_alt --chrom chr2_KQ983256v1_alt
getChromDepth_sample000_estimateChromDepth_472_chr2_KZ208908v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_472_chr2_KZ208908v1_alt --chrom chr2_KZ208908v1_alt
getChromDepth_sample000_estimateChromDepth_473_chr2_KN538363v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_473_chr2_KN538363v1_fix --chrom chr2_KN538363v1_fix
getChromDepth_sample000_estimateChromDepth_474_chr2_KN538362v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_474_chr2_KN538362v1_fix --chrom chr2_KN538362v1_fix
getChromDepth_sample000_estimateChromDepth_475_chr3_KV766192v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_475_chr3_KV766192v1_fix --chrom chr3_KV766192v1_fix
getChromDepth_sample000_estimateChromDepth_476_chr3_KN196475v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_476_chr3_KN196475v1_fix --chrom chr3_KN196475v1_fix
getChromDepth_sample000_estimateChromDepth_477_chr3_KQ031385v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_477_chr3_KQ031385v1_fix --chrom chr3_KQ031385v1_fix
getChromDepth_sample000_estimateChromDepth_478_chr3_KN538364v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_478_chr3_KN538364v1_fix --chrom chr3_KN538364v1_fix
getChromDepth_sample000_estimateChromDepth_479_chr3_KZ208909v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_479_chr3_KZ208909v1_alt --chrom chr3_KZ208909v1_alt
getChromDepth_sample000_estimateChromDepth_480_chr3_KQ031386v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_480_chr3_KQ031386v1_fix --chrom chr3_KQ031386v1_fix
getChromDepth_sample000_estimateChromDepth_481_chr3_KN196476v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_481_chr3_KN196476v1_fix --chrom chr3_KN196476v1_fix
getChromDepth_sample000_estimateChromDepth_482_chr4_KQ090013v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_482_chr4_KQ090013v1_alt --chrom chr4_KQ090013v1_alt
getChromDepth_sample000_estimateChromDepth_483_chr4_KQ090014v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_483_chr4_KQ090014v1_alt --chrom chr4_KQ090014v1_alt
getChromDepth_sample000_estimateChromDepth_484_chr4_KQ090015v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_484_chr4_KQ090015v1_alt --chrom chr4_KQ090015v1_alt
getChromDepth_sample000_estimateChromDepth_485_chr4_KV766193v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_485_chr4_KV766193v1_alt --chrom chr4_KV766193v1_alt
getChromDepth_sample000_estimateChromDepth_486_chr4_KQ983257v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_486_chr4_KQ983257v1_fix --chrom chr4_KQ983257v1_fix
getChromDepth_sample000_estimateChromDepth_487_chr4_KQ983258v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_487_chr4_KQ983258v1_alt --chrom chr4_KQ983258v1_alt
getChromDepth_sample000_estimateChromDepth_488_chr5_KZ208910v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_488_chr5_KZ208910v1_alt --chrom chr5_KZ208910v1_alt
getChromDepth_sample000_estimateChromDepth_489_chr5_KN196477v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_489_chr5_KN196477v1_alt --chrom chr5_KN196477v1_alt
getChromDepth_sample000_estimateChromDepth_490_chr5_KV575243v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_490_chr5_KV575243v1_alt --chrom chr5_KV575243v1_alt
getChromDepth_sample000_estimateChromDepth_491_chr5_KV575244v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_491_chr5_KV575244v1_fix --chrom chr5_KV575244v1_fix
getChromDepth_sample000_estimateChromDepth_492_chr6_KZ208911v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_492_chr6_KZ208911v1_fix --chrom chr6_KZ208911v1_fix
getChromDepth_sample000_estimateChromDepth_493_chr6_KQ090017v1_alt		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_493_chr6_KQ090017v1_alt --chrom chr6_KQ090017v1_alt
getChromDepth_sample000_estimateChromDepth_494_chr6_KQ031387v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_494_chr6_KQ031387v1_fix --chrom chr6_KQ031387v1_fix
getChromDepth_sample000_estimateChromDepth_495_chr6_KN196478v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_495_chr6_KN196478v1_fix --chrom chr6_KN196478v1_fix
getChromDepth_sample000_estimateChromDepth_496_chr6_KQ090016v1_fix		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_496_chr6_KQ090016v1_fix --chrom chr6_KQ090016v1_fix
